	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
Fagus grandifolia	10	5	1	1	1							
Ilex opaca		1										
Picea rubens												
Cornus alternifolia	1	1										
Aesculus octandra	8	9	4	2	6	1						
Tilia heterophylla	29	11	9	1	14	3						
Acer spicatum		16	11		17	1						
Acer saccharum	17	7	1	1	5	1						
Prunus serotina	2	1		1		2						
Fraxinus americana	1	1		1	1							
Betula allegheniensis	5	17	10	15	4	1						
Magnolia acuminata							1					
Magnolia fraseri			20	4	1		1					
Tsuga canadensis	20	22	34	62	18			1				
Halesia monticola	5	8	4	1	9	13	3	1	1			
Ilex montana	1			1	1	1	2					
Acer pensylvanicum	1		1	3	8	3		1				
Amelanchier laevis												
Quercus borealis		1			2	40	10	4	15	11	2	1
Acer rubrum		1			1	6	37	21	13	10	8	1
Prunus pensylvanica			2				1					
Betula lenta			1	4	4	1	2	2				
Clethra acuminata				1								
Hamamelis virginiana					2	5	17	7	1		2	
Cornus florida					1			4				
Liriodendron tulipifera					2			1				
Rhododendron calendulaceum						1		1	4			
Carya glabra						4		6	2	5		
Carya tomentosa								2				
Carya ovalis												
Nyssa sylvatica			1				2	4	1	2	7	
Oxydendrum arboreum				1		1	3	8	14	16	1	1
Castanea dentata					2	5	7	9	10	12	1	
Sassafras albidum						1	1	1	1	4		
Quericus alba						2	1	8	24	10		
Robinia pseudoacacia						4	5	1	3	8	3	
Quercus prinus						3	4	15	4	16	11	1
Quercus velutina									1	1		
Quercus coccinea							1					1
Pinus rigida								7	1	1	11	46
Pinus pungens									1	4	54	49
